wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
SDSS J000247.21+101144.1,00 02 47.21,10 11 44.28,DAZ:,6302.0,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283307202,3529.74,,
SDSS J000341.52-045443.9,00 03 41.52,-04 54 43.90,DAZ:,6731.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005118543,195368.10,,
SDSS J000401.38-093413.2,00 04 01.38,-09 34 13.28,DAZ:,6717.0,6.998,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.910997896,1097.70,H,
SDSS J000917.43+052729.4,00 09 17.44,05 27 29.79,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0723,141.40,,
SDSS J001349.30+130352.3,00 13 49.30,13 03 52.22,DAZ:,6684.0,7.682,0.42,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.830174384,353.34,H,
SDSS J002312.05+125613.9,00 23 12.04,12 56 13.95,DAZ:,6383.0,7.242999999999999,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.583731287,,,
SDSS J003257.51+204949.0,00 32 57.50,20 49 48.85,DAZ:,6849.0,8.39,0.842,,3.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.703276051,129.81,H,
SDSS J003754.55-073457.0,00 37 54.55,-07 34 57.07,DAZ:,10146.0,8.456,0.7040000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005298787,2031.63,,
SDSS J003814.56+041106.1,00 38 14.56,04 11 06.17,DAZ,6398.0,6.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.882613146,3495.65,,
SDSS J003823.66+301239.8,00 38 23.69,30 12 39.55,DAZ:,7555.0,7.773,0.468,,0.9217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.793200399,263.63,H,
