wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logohe,lognahe,logmghe,logalhe,logsihe,logphe,logshe,logclhe,logcahe,logsche,logtihe,logvhe,logcrhe,logmnhe,logfehe,logcohe,lognihe,logcuhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
SDSS J211003.74-000152.9,21 10 03.75,-00 01 53.09,DBZA,10781.0,7.9453,0.5504,,0.474,-3.7327,,,,,,,,,,-9.5661,,,,,,,,,,,,,6.662594871,150.09,He,
SDSS J224346.29+321027.1,22 43 46.28,32 10 27.05,DBZ,11295.0,7.8305,0.4891,,0.361,<-6.0628,,,,,,,,,,-8.998,,,,,,,,,,,,,3.978199694,251.37,He,
SDSS J224828.65+131838.5,22 48 28.64,13 18 38.55,DBZ,16269.0,9.31,1.298,,0.613,-5.337,,,,,,,,,,-8.6714,,,,,,,,,,,,,4.256306131,234.95,He,
SDSS J225809.37-082920.1,22 58 09.39,-08 29 20.24,DBZA,14766.0,8.19,0.703,,0.559,-5.204,,,,,,,,,,-8.9897,,,,,,,,,,,,,3.07227941,325.49,He,
SDSS J230620.01+211118.5,23 06 20.01,21 11 18.42,DBZA,15249.0,8.19,0.703,,0.492,-4.886,,,,,,,,,,-10.8508,,,,,,,,,,,,,3.134695508,319.01,He,
SDSS J235139.39+361203.1,23 51 39.38,36 12 03.08,DBZ,11311.0,7.9423,0.5498,,0.415,<-6.037,,,,,,,,,,-9.3291,,,,,,,,,,,,,2.995414104,333.84,He,
SDSS J235336.08+372055.3,23 53 36.08,37 20 55.19,DBZA,16225.0,8.05,0.621,,0.248,-5.166,,,,,,,,,,-7.8456,,,,,,,,,,,,,2.510107849,398.39,He,
US 1170,10 00 01.28,44 20 15.50,DBZA,14781.0,8.21,0.717,,0.224,-4.135,,,,,,,,,,-8.5113,,,,,,,,,,,,,3.927326939,254.63,He,
USNO-A2.0 0825-19880842,23 11 41.56,-00 41 01.00,DBZ,14299.0,8.62,0.985,,0.437,<-6.165,,,,,,,,,,-7.3244,,,,,,,,,,,,,4.228994542,236.46,He,
WD 0856+577,08 59 57.18,57 32 49.72,DBZ,14902.0,7.5,0.351,,0.338,<-6.102,,,,,,,,,,-7.9575,,,,,,,,,,,,,3.135355144,318.94,He,
WD 0934+020,09 37 20.35,01 48 03.65,DBZAH,14898.0,8.01,0.595,,,-5.376,,,,,,,,,,,,,,,,,,,,,,,2.54197024,393.4,,
WD 0941-004,09 44 31.30,-00 39 34.15,DBZ,14265.0,8.3,0.775,,0.409,-6.029,,,,,,,,,,-7.8027,,,,,,,,,,,,,6.243518608,160.17,He,
WD 1244+498,12 47 03.29,49 34 24.19,DBZA,15734.0,7.97,0.575,,0.183,-5.178,,,,,,,,,,-7.5725,,,,,,,,,,,,,8.30809461,120.36,He,
WD 1331+640,13 33 06.91,63 49 36.36,DBZA,15611.0,8.4,0.841,,0.175,-5.052,,,,,,,,,,-7.1688,,,,,,,,,,,,,3.390559162,294.94,He,
WD 1347+029,13 49 56.19,02 43 09.28,DBZ,14253.0,8.05,0.617,,0.31,-5.655,,,,,,,,,,-8.0713,,,,,,,,,,,,,4.451541795,224.64,He,
WD 1443+590,14 45 18.10,58 50 31.39,DBZ,14185.0,7.87,0.517,,0.283,<-6.497,,,,,,,,,,-8.6874,,,,,,,,,,,,,5.540083049,180.5,He,
WD J0738+1835,07 38 42.58,18 35 09.33,DBZA,15213.0,7.8,0.482,-2.5,,-5.889,,-3.81,-6.36,-4.68,-6.39,-4.9,,,,-5.65,-9.55,-7.95,-8.5,-6.76,-7.11,-4.98,-7.76,-6.31,,,,,5.825566063,171.66,He,
WD J2209+1223,22 09 34.83,12 23 36.34,DBZ,17356.0,8.23,0.737,,0.199,<-6.028,,,,,,,,,,-7.2997,,,,,,,,,,,,,6.079364165,164.49,He,
[GMS97] NGC 450 121,01 20 44.81,-00 41 59.17,DBZ,13340.0,7.57,0.374,,0.325,-6.091,,,,,,,,,,-9.125,,,,,,,,,,,,,4.595083406,217.62,He,
[GMS97] NGC 450 134,01 20 16.17,-00 47 06.03,DBZA,16319.0,8.03,0.611,,,-4.128,,,,,,,,,,,,,,,,,,,,,,,2.084773748,479.67,,
