wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
SDSS J100309.89+142117.4,10 03 09.89,14 21 17.42,DZ,5725.0,8.0,,,0.0,<-3.0,,,,,,,,,,,,,,,,,,,-10.4571,,,,,,,,,,,,,,,,,,,,,,298.1716,He,
SDSS J100346.66-003123.1,10 03 46.60,-00 31 23.56,DZ,5740.0,8.0,,,3.9,,,,,,,-8.97,,-7.28,,,,,,,,,,,-8.49,,,,,,,,,,,-7.28,,,,,,,,,,6.729265802,148.60,He,
SDSS J100406.63+423151.5,10 04 06.56,42 31 51.47,DZ,8152.0,8.3287,0.7875,,1.91,<-4.3639,,,,,,,,,,,,,,,,,,,-10.0145,,,,,,,,,,,,,,,,,,,,,4.640949919,215.47,He,
SDSS J100421.25+045117.2,10 04 21.26,04 51 17.42,DZ,7797.0,7.8204,0.4747,,0.942,<-4.648,,,,,,,,,,,,,,,,,,,-9.7717,,,,,,,,,,,,,,,,,,,,,4.95940766,201.64,He,
SDSS J100509.60+265524.1,10 05 09.53,26 55 23.42,DZ,8038.0,8.007,0.5805,,1.11,<-4.6898,,,,,,,,,,,,,,,,,,,-9.905,,,,,,,,,,,,,,,,,,,,,7.186892294,139.14,He,
SDSS J100516.78+174635.3,10 05 16.78,17 46 35.31,DZ,5749.0,8.0,,,0.0,<-3.0,,,,,,,,,,,,,,,,,,,-10.3921,,,,,,,,,,,,,,,,,,,,,,229.875,He,
SDSS J100534.80+242347.6,10 05 34.76,24 23 47.52,DZ,7600.0,7.141,0.234,,0.5477,,,,,,,,,,,,,,,,,,,,-9.046,,,,,,,,,,,,,,,,,,,,,3.507967471,285.07,He,
SDSS J100537.43+224403.1,10 05 37.43,22 44 03.17,DZ,6165.0,8.0,,,0.0,<-3.0024,,,,,,,,-7.9,,,,,,,,,,,-9.1,,,,,,,,,,,-7.8,,,,,,,,,,,267.1077,He,
SDSS J100549.45+640913.7,10 05 49.46,64 09 12.68,DZ:,6377.0,8.0,,,,,,,,,,,,,,,,,,,,,,,-10.493,,,,,,,,,,,,,,,,,,,,,4.978199581,200.88,He,
SDSS J100553.03+203242.5,10 05 53.03,20 32 42.30,DZ,6522.0,8.0,,,0.0,<-3.4251,,,,,,,,,,,,,,,,,,,-10.4418,,,,,,,,,,,,,,,,,,,,,5.330287748,187.61,He,
SDSS J100609.16+175221.3,10 06 09.16,17 52 20.45,DZ,5605.0,8.251,0.731,,5.37,<-3.0043,,,,,,,,-8.3,,,,,,,,,,,-9.5,,,,,,,,,,,-8.3,,,,,,,,,,7.587676205,131.79,He,
SDSS J100617.24+611613.3,10 06 17.34,61 16 12.55,DZ,6935.0,8.0982,0.6347,,1.9,<-3.7726,,,,,,,,,,,,,,,,,,,-10.7437,,,,,,,,,,,,,,,,,,,,,5.580226087,179.20,He,
SDSS J100849.59+465427.0,10 08 49.59,46 54 26.87,DZ:,7272.0,8.0,,,,,,,,,,,,,,,,,,,,,,,-9.839,,,,,,,,,,,,,,,,,,,,,-0.567360278,,He,
SDSS J100953.25+333754.4,10 09 53.20,33 37 54.03,DZ,6543.0,8.0,,,0.0,<-3.4477,,,,,,,,,,,,,,,,,,,-10.1141,,,,,,,,,,,,,,,,,,,,,2.328956197,429.38,He,
SDSS J101007.84+394852.2,10 10 07.78,39 48 51.95,DZA,8371.0,8.0509,0.6078,,1.06,-4.0886,,,,,,,,,,,,,,,,,,,-8.8105,,,,,,,,,,,,,,,,,,,,,8.128000242,123.03,He,
SDSS J101048.43+211944.2,10 10 48.43,21 19 44.30,DZ,6968.0,8.0,,,0.0,<-3.8775,,,,,,,,,,,,,,,,,,,-9.6423,,,,,,,,,,,,,,,,,,,,,,401.8409,He,
SDSS J101216.59+210757.2,10 12 16.60,21 07 56.86,DZ,6436.0,6.255,0.058,,,,,,,,,,,,,,,,,,,,,,-8.157,,,,,,,,,,,,,,,,,,,,,2.567042098,389.55,He,
SDSS J101217.24+443529.1,10 12 17.22,44 35 28.98,DZ,9065.0,8.7515,1.0594,,2.57,<-4.8188,,,,,,,,,,,,,,,,,,,-8.4795,,,,,,,,,,,,,,,,,,,,,1.902299773,525.68,He,
SDSS J101309.20-025105.4,10 13 09.19,-02 51 05.45,DZ,7065.0,8.0,,,0.0,<-3.9415,,,,,,,,,,,,,,,,,,,-9.8416,,,,,,,,,,,,,,,,,,,,,,384.9778,He,
SDSS J101346.54+223258.2,10 13 46.53,22 32 57.48,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5962,278.07,,
SDSS J101451.15+282701.6,10 14 51.14,28 27 01.53,DZ,6269.0,8.0,,,0.0,<-3.1486,,,,,,-7.86,,-6.4,,,,,,,,,,,-7.9,,,,-9.05,,,-8.43,,,,-6.5,,,,,,,,,,,264.1327,He,
SDSS J101506.59+632722.2,10 15 06.60,63 27 22.07,DZ,8230.0,8.0,,,0.0,<-4.9489,,,,,,,,,,,,,,,,,,,-8.8214,,,,,,,,,,,,,,,,,,,,,,494.4766,He,
SDSS J101558.21+414131.7,10 15 58.17,41 41 31.16,DZA,9694.0,7.9462,0.5484,,0.629,-4.9119,,,,,,,,,,,,,,,,,,,-7.8449,,,,,,,,,,,,,,,,,,,,,4.156316363,240.60,He,
SDSS J101711.54+344710.5,10 17 11.46,34 47 09.62,DZ,6089.0,8.004,0.576,,2.41,<-3.0024,,,,,,,,-8.6,,,,,,,,,,,-9.8,,,,,,,,,,,-8.6,,,,,,,,,,5.926732031,168.73,He,
